"#name","#img","School","City","Country","Description","Forest Health","Insect Damage","Insects Identified","RecentFire","Year of Last Fire","Coniferous Trees","Deciduous Trees","Bushes Present","Tall Grass Present","Deadwood on the floor","Standing Deadwood","Lichens","Lichen Branches","New Trees","Old Trees","Protected Area","Managed Forest?","Evidence of Logging","Average Precipitation this Year","Average Temperature this Year","River, Lake or Spring Nearby?","Distance to Major Road","Distance to Settlement","Date#date","Latitude#number","Longitude#number","#href","See it in GFW#link#hidden"
"Photo 34","default","Francis W. Parker School","Chicago, IL","USA","Because it is still cold outside there wasn't many leaves on the trees but all seemed to be upright, tall, and rather healthy looking. There were many trees and some shorter trees and bushes were even groomed.","Excellent","Yes","No I can not","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","Yes","No","25-50%","50-75%","No","Yes","Yes","Normal","I don't know","Yes","0-1km","0-1km","4/27/2016","41.92285","-87.636215","http://www.globalforestwatch.org/map/13/41.922850/-87.636215/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636215/http://www.globalforestwatch.org/map/13/41.922850/-87.636215/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 35","default","Francis W. Parker School","Chicago, IL","USA","I saw many a tree.","Excellent","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Absent","Yes","No","Below 25%","Above 75%","No","Yes","No","Wetter","Warmer","Yes","0-1km","0-1km","5/2/2016","41.922137","-87.636137","http://www.globalforestwatch.org/map/13/41.922137/-87.636137/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636137/http://www.globalforestwatch.org/map/13/41.922137/-87.636137/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 36","default","Francis W. Parker School","Chicago, IL","USA","There was a lot of tress that where holding nest, and it seemed as tress where planted in certain spots on purpose.","I don't know","I don't know","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","I don't know","No","No","25-50%","Above 75%","No","No","No","Drier","Warmer","Yes","0-1km","0-1km","4/27/2016","41.922724","-87.636142","http://www.globalforestwatch.org/map/13/41.922724/-87.636142/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636142/http://www.globalforestwatch.org/map/13/41.922724/-87.636142/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 37","default","Francis W. Parker School","Chicago, IL","USA","Most trees seemed to be coniferous rather than deciduous. There seemed to also be more bushes, too. Due to the rain that had occurred the day before, most plants were already starting to bloom. Though there were dead trees around.","Excellent","I don't know","","No","","50-75%","Below 25%","Yes","I don't know","Small amount","Small amount","Yes","Yes","Below 25%","50-75%","No","Yes","No","Normal","Warmer","Yes","0-1km","0-1km","4/27/2016","41.923424","-87.635991","http://www.globalforestwatch.org/map/13/41.923424/-87.635991/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.635991/http://www.globalforestwatch.org/map/13/41.923424/-87.635991/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 38","default","Francis W. Parker School","Chicago, IL","USA","Relatively healthy growing trees. Well groomed as a general rule.","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Small amount","No","No","Below 25%","Below 25%","Yes","Yes","No","Normal","Normal","Yes","0-1km","0-1km","4/27/2016","41.92286","-87.636073","http://www.globalforestwatch.org/map/13/41.922860/-87.636073/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636073/http://www.globalforestwatch.org/map/13/41.922860/-87.636073/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 39","default","Francis W. Parker School","Chicago, IL","USA","This forest was well managed but this tree had an bag in its branches which can effect the trees grow in its future.","Fair","I don't know","","No","","50-75%","Below 25%","Yes","I don't know","Virtually absent","Absent","I don't know","I don't know","50-75%","Below 25%","No","Yes","I don't know","Normal","Normal","Yes","0-1km","0-1km","4/27/2016","41.923363","-87.636191","http://www.globalforestwatch.org/map/13/41.923363/-87.636191/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636191/http://www.globalforestwatch.org/map/13/41.923363/-87.636191/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 40","default","Francis W. Parker School","Chicago, IL","USA","I saw many a tree.","Excellent","No","","No","","Below 25%","Above 75%","Yes","No","Small amount","Small amount","Yes","Yes","Below 25%","Above 75%","Yes","Yes","I don't know","Wetter","Warmer","Yes","0-1km","0-1km","5/2/2016","41.922237","-87.63603","http://www.globalforestwatch.org/map/13/41.922237/-87.636030/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636030/http://www.globalforestwatch.org/map/13/41.922237/-87.636030/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 41","default","Francis W. Parker School","Chicago, IL","USA","The trees were relatively healthy, although there were signs of human damage such as plastic bags in trees and crushed plants.","Fair","I don't know","","No","","25-50%","25-50%","Yes","Yes","Small amount","Small amount","I don't know","No","25-50%","50-75%","No","No","No","Normal","Colder","Yes","0-1km","0-1km","4/27/2016","41.923323","-87.636217","http://www.globalforestwatch.org/map/13/41.923323/-87.636217/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636217/http://www.globalforestwatch.org/map/13/41.923323/-87.636217/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 42","default","Francis W. Parker School","Chicago, IL","USA","A lot of bushes and short plants.  Nest in a lot of the trees","I don't know","I don't know","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","I don't know","No","No","25-50%","25-50%","No","Yes","No","Drier","Warmer","Yes","0-1km","0-1km","4/27/2016","41.922812","-87.636073","http://www.globalforestwatch.org/map/13/41.922812/-87.636073/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636073/http://www.globalforestwatch.org/map/13/41.922812/-87.636073/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 43","default","Francis W. Parker School","Chicago, IL","USA","Many trees that were well groomed and managed.","Excellent","No","","No","","50-75%","50-75%","Yes","No","Virtually absent","Small amount","No","No","50-75%","50-75%","No","Yes","Yes","Normal","I don't know","Yes","0-1km","0-1km","4/27/2016","41.923826","-87.63541","http://www.globalforestwatch.org/map/13/41.923826/-87.635410/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.635410/http://www.globalforestwatch.org/map/13/41.923826/-87.635410/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 44","default","Francis W. Parker School","Chicago, IL","USA","Well groomed trees","Excellent","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Absent","No","No","Below 25%","Below 25%","Yes","Yes","No","Normal","Normal","Yes","0-1km","0-1km","4/27/2016","41.924257","-87.636287","http://www.globalforestwatch.org/map/13/41.924257/-87.636287/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636287/http://www.globalforestwatch.org/map/13/41.924257/-87.636287/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 45","default","Francis W. Parker School","Chicago, IL","USA","A sturdy tree that is very healthy and well protected.","Excellent","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Absent","No","No","Below 25%","Below 25%","Yes","Yes","No","Wetter","I don't know","Yes","0-1km","0-1km","4/28/2016","41.922985","-87.636268","http://www.globalforestwatch.org/map/13/41.922985/-87.636268/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636268/http://www.globalforestwatch.org/map/13/41.922985/-87.636268/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 46","default","Francis W. Parker School","Chicago, IL","USA","There were not a lot of coniferous trees. Some shrubs seemed to look like trees but actually were shrubs.","Fair","No","","No","","25-50%","50-75%","Yes","Yes","I don't know","Absent","Yes","No","Below 25%","Above 75%","Yes","Yes","No","I don't know","I don't know","Yes","0-1km","0-1km","4/27/2016","41.922397","-87.636073","http://www.globalforestwatch.org/map/13/41.922397/-87.636073/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636073/http://www.globalforestwatch.org/map/13/41.922397/-87.636073/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 47","default","Francis W. Parker School","Chicago, IL","USA","Most flowers along the tree seemed to start to bloom, while there were some dead trees on the side. There weren't that much of dead branches or much around the tree.","Excellent","No","","No","","50-75%","Below 25%","Yes","Yes","Large amount","Small amount","No","No","25-50%","50-75%","No","Yes","No","Normal","Warmer","Yes","0-1km","0-1km","4/27/2016","41.923014","-87.636026","http://www.globalforestwatch.org/map/13/41.923014/-87.636026/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636026/http://www.globalforestwatch.org/map/13/41.923014/-87.636026/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 48","default","Francis W. Parker School","Chicago, IL","USA","This is a very heathy forest.","Fair","No","","No","","Below 25%","Below 25%","Yes","I don't know","Virtually absent","Absent","I don't know","I don't know","50-75%","Below 25%","No","Yes","No","Normal","Normal","Yes","0-1km","0-1km","4/27/2016","41.923485","-87.636234","http://www.globalforestwatch.org/map/13/41.923485/-87.636234/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636234/http://www.globalforestwatch.org/map/13/41.923485/-87.636234/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 49","default","Francis W. Parker School","Chicago, IL","USA","In the area around the tree there were no coniferous trees and a lot of Deciduous trees.","Excellent","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Absent","No","No","Below 25%","Below 25%","Yes","Yes","No","I don't know","I don't know","Yes","0-1km","0-1km","4/27/2016","41.923012","-87.636338","http://www.globalforestwatch.org/map/13/41.923012/-87.636338/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636338/http://www.globalforestwatch.org/map/13/41.923012/-87.636338/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 50","default","Francis W. Parker School","Chicago, IL","USA","The trees were relatively healthy, although there were more signs of human damage such as bags in trees or stomped down plants.","Fair","I don't know","","No","","50-75%","25-50%","Yes","Yes","Small amount","Small amount","I don't know","No","50-75%","25-50%","No","No","I don't know","Normal","Colder","Yes","0-1km","0-1km","4/27/2016","41.922708","-87.636196","http://www.globalforestwatch.org/map/13/41.922708/-87.636196/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/-87.636196/http://www.globalforestwatch.org/map/13/41.922708/-87.636196/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
